id,text,top_tone,tones,violence_score
1,"A hot air balloon accident in Praia Grande, Brazil resulted in multiple fatalities. Initial reports confirm eight deaths. Rescue teams are searching for other passengers. The balloon caught fire mid-air before crashing. Two survivors are receiving medical care. Jorginho Mello, the state governor, expressed shock. An investigation into the cause of the fire is underway. Authorities are working to identify the victims. The incident raises concerns about flight safety.",Criticism,"Criticism, Passive-Aggressive",0.97
2,"Residents of Bille and Ogale in Niger delta are suing Shell and subsidiary, but company denies liability Residents of two Nigerian communities who are taking legal action against Shell over oil pollution are set to take their cases to trial at the high court in 2027. Members of the Bille and Ogale communities in the Niger delta, which have a combined population of about 50,000, are suing Shell and a Nigerian-based subsidiary of the company, the Shell Petroleum Development Company of Nigeria, which is now the Renaissance Africa Energy Company. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic, Offensive",0.726
3,"Garments thrown out by consumers from Next, George, M&S and others found in or near conservation areas Clothes discarded by UK consumers and shipped to Ghana have been found in a huge rubbish dump in protected wetlands, an investigation has found. Reporters for Unearthed working with Greenpeace Africa found garments from Next in the dump and other sites, and items from George at Asda and Marks & Spencer washed up nearby. Continue reading...",Criticism,"Criticism, Passive-Aggressive",0.791
4,"Messages advise staff to also warn students off celebrations to avoid violating national security law Teachers in Hong Kong have been warned to keep themselves and students away from any US Independence Day celebrations as they may breach national security laws, educators have alleged. A text message purportedly sent by the principal of a Hong Kong school to staff said the education bureau’s regional education office had reminded them “to be careful about Independence Day activities organised by the US consulate in Hong Kong, and not to participate to avoid violating the national security law and Hong Kong laws”. Continue reading...",Criticism,"Criticism, Passive-Aggressive",0.657
5,"In phone call, Paetongtarn Shinawatra discusses border dispute with former Cambodian leader and calls him ‘uncle’ Thailand’ s prime minister, Paetongtarn Shinawatra , apologised after a leaked phone conversation with former Cambodian leader Hun Sen prompted public anger and threatened the collapse of her government. In the leaked call, Paetongtarn – daughter of the populist former leader Thaksin Shinawatra – discusses an ongoing border dispute with Hun Sen, who is known to be a friend of her family. Continue reading...",Criticism,"Criticism, Offensive, Passive-Aggressive, Sarcastic",0.687
6,"With Israel fighting on at least two fronts, the country's finances and economy are strained. The government hopes higher taxes can cover some of the bills while its high-tech industry remains a safe investment.",Criticism,Criticism,0.948
7,"Singer trains underwater like Frank Sinatra once did and scientists say it may be useful in maintaining vocal prowess Frank Sinatra did it his way, taking to the pool to boost his vocal prowess, and it seems Rod Stewart is singing from the same songsheet. Now scientists say the approach might not be somethin’ stupid. Stewart, 80, is still entertaining fans with his raspy vocals and energetic stage performances and earlier this month he revealed that as well as running and playing some football, swimming also played a key part in his campaign to stay forever young. Continue reading...",Criticism,,0.477
8,"Commuters share their views at the junction with the highest number of cycling accidents It’s 8am in Clapham, the area of south-west London where young professionals and well-off homeowners are crammed into 2 sq miles of buzzy high streets, a leafy common and rows of terraced houses. The popularity of the neighbourhood lies in its proximity to the city centre. A 4-mile hop to central London makes for an easy journey to work, especially for one kind of commuter: cyclists. Continue reading...",Criticism,"Criticism, Passive-Aggressive",0.77
9,"People locators, 3D weapon blueprints, tactical planning – all accessible on the web for potential attackers or terrorists A rash of recent assassinations have brought on congressional scrutiny and concern among law enforcement agencies who are wary of an age of political polarization turning deadly. But experts say the violence is as much a byproduct of the times as it is the easy accessibility to DIY murder tradecraft, evident in some high-profile slayings of late. Continue reading...",Criticism,,0.996
10,"With the war between Israel and Iran now in its second week, the two countries continued to trade missile attacks on Saturday, and Iran's foreign minister warned against a U.S. strike on Iran.",Offensive,"Offensive, Criticism",0.994
11,"Pope Leo XIV told politicians in Rome not to forget that artificial intelligence is a tool. He warned, ""Our personal life has greater value than any algorithm.""",Criticism,Criticism,0.515
12,"Russian President Vladimir Putin has revived a controversial narrative, claiming that theoretically ""all of Ukraine is ours."" He also sparked more immediate concerns with comments about seizing Ukraine's city of Sumy.",Offensive,"Offensive, Criticism, Passive-Aggressive",0.97
13,"An Israeli attack on Iran during an ""ongoing diplomatic process"" amounted to a war crime, Iranian Foreign Minister Abbas Araghchi has said.",Offensive,"Offensive, Criticism",0.996
14,"Humiliation, subjugation, torture — Ukrainian prisoners of war often recount degrading treatment and other horrors. What they choose to do after returning home from Russia varies widely.",Offensive,,0.974
15,A Hungarian law passed allegedly to protect children will likely be used to ban a Budapest Pride event. EU lawmakers have called on the bloc to pressure Hungary into allowing LGBTQ+ events.,Offensive,"Offensive, Passive-Aggressive, Criticism",0.79
16,"After a shooter killed 10 people at a school in Graz, Austria's government is tightening rules on gun purchases by raising the minimum age and calling for more psychological screening.",Passive-Aggressive,"Passive-Aggressive, Criticism",0.993
17,Exclusive DW data shows how gambling ads at Brazilian football matches are more prevalent than in any other major league. This has huge financial and mental health implications that lawmakers have been slow to deal with.,Offensive,Offensive,0.804
18,"The Israeli Defense Ministry posted pictures of defense industry stands covered by black partition walls. The ministry slammed the move as ""outrageous and unprecedented.""",Offensive,"Offensive, Criticism",0.978
19,"The UN Security Council met on Friday to discuss the situation in Ukraine, where intensified fighting continues, affecting new areas and prompting further displacement.",Criticism,,0.993
20,"UN Member States have reached agreement on the outcome document for the Fourth International Conference on Financing for Development, to be formally adopted at an upcoming summit in Sevilla, Spain – though without the participation of the United States, which withdrew from the negotiations and announced it will not attend the conference.",Passive-Aggressive,,0.503
21,"Shubman Gill captained India in the first Test against England at Headingley, urging his team to secure an early victory after a dominant batting performance. India posted 471 in their first innings, propelled by centuries from Gill (147), Rishabh Pant (134), and Yashasvi Jaiswal (101).",Passive-Aggressive,Passive-Aggressive,0.667
22,"Nitin Gadkari hinted at a larger role in 2029, framing his past contributions as a mere ""news reel"" compared to the ""real film"" yet to come. He emphasized party loyalty and his commitment to assigned duties, while prioritizing initiatives to prevent farmer suicides in Vidarbha. Gadkari also cited population growth as a barrier to India's economic progress.",Sarcastic,"Sarcastic, Criticism, Passive-Aggressive",0.563
23,"Shubman Gill marked his Test captaincy debut with a brilliant 147 against England at Headingley, leading India's charge in the first Test. Despite falling short of a double century due to a mistimed shot, his innings was crucial in India's quest for an early series advantage.",Passive-Aggressive,,0.626
24,It's the latest twist in a cat-and-mouse confrontation between the government and Hungary's LGBTQ community.,Passive-Aggressive,Passive-Aggressive,0.706
25,"Cognizant will establish a major IT campus in Visakhapatnam, securing 21.31 acres of land from the Andhra Pradesh government for a nominal price. The company plans to invest Rs 1,582 crore in the project, which is expected to generate 8,000 jobs over the next eight years. This move aligns with Andhra Pradesh's vision to transform Visakhapatnam into a technology hub.",Passive-Aggressive,,0.529
